,time,delay
226,2023-07-19 14:10:01,14.875
227,2023-07-19 14:11:00,8.031
228,2023-07-19 14:12:00,8.436
229,2023-07-19 14:13:00,15.283
230,2023-07-19 14:14:00,8.732
231,2023-07-19 14:15:00,8.762
232,2023-07-19 14:16:00,10.338
233,2023-07-19 14:17:00,28.32
234,2023-07-19 14:18:00,12.261
235,2023-07-19 14:19:00,15.492
236,2023-07-19 14:20:00,8.493
237,2023-07-19 14:21:00,9.156
238,2023-07-19 14:22:00,11.345
239,2023-07-19 14:23:00,12.645
240,2023-07-19 14:24:00,18.674
241,2023-07-19 14:25:01,12.013
242,2023-07-19 14:26:00,14.861
243,2023-07-19 14:27:00,11.315
244,2023-07-19 14:28:00,89.361
245,2023-07-19 14:29:00,11.544
246,2023-07-19 14:30:00,11.673
247,2023-07-19 14:31:01,17.427
248,2023-07-19 14:32:00,13.879
249,2023-07-19 14:33:00,8.202
250,2023-07-19 14:34:00,9.347
251,2023-07-19 14:35:00,9.231
252,2023-07-19 14:36:00,9.662
253,2023-07-19 14:37:01,11.788
254,2023-07-19 14:38:00,10.403
255,2023-07-19 14:39:00,15.806
256,2023-07-19 14:40:00,9.118
257,2023-07-19 14:41:00,12.801
258,2023-07-19 14:42:01,9.145
259,2023-07-19 14:43:00,8.711
260,2023-07-19 14:44:00,21.433
261,2023-07-19 14:45:00,19.465
262,2023-07-19 14:46:00,8.474
263,2023-07-19 14:47:01,9.201
264,2023-07-19 14:48:00,12.735
265,2023-07-19 14:49:00,7.967
266,2023-07-19 14:50:00,10.324
267,2023-07-19 14:51:00,14.293
268,2023-07-19 14:52:00,13.233
269,2023-07-19 14:53:00,16.151
270,2023-07-19 14:54:00,12.239
271,2023-07-19 14:55:00,14.909
272,2023-07-19 14:56:00,19.887
273,2023-07-19 14:57:00,29.016
274,2023-07-19 14:58:00,12.208
275,2023-07-19 14:59:01,9.155
276,2023-07-19 15:00:00,13.787
277,2023-07-19 15:01:00,9.784
278,2023-07-19 15:02:00,10.732
279,2023-07-19 15:03:00,11.183
280,2023-07-19 15:04:00,8.238
281,2023-07-19 15:05:00,10.351
282,2023-07-19 15:06:00,9.873
283,2023-07-19 15:07:00,8.979
284,2023-07-19 15:08:00,11.894
285,2023-07-19 15:09:00,15.371
286,2023-07-19 15:10:00,11.445
287,2023-07-19 15:11:00,8.33
288,2023-07-19 15:12:01,7.897
289,2023-07-19 15:13:00,17.186
290,2023-07-19 15:14:00,12.006
291,2023-07-19 15:15:00,9.307
292,2023-07-19 15:16:00,9.094
293,2023-07-19 15:17:00,15.622
294,2023-07-19 15:18:01,8.77
295,2023-07-19 15:19:00,12.923
296,2023-07-19 15:20:00,9.118
297,2023-07-19 15:21:00,16.699
298,2023-07-19 15:22:00,8.64
299,2023-07-19 15:23:00,8.922
300,2023-07-19 15:24:00,16.776
301,2023-07-19 15:25:00,15.993
302,2023-07-19 15:26:00,11.783
303,2023-07-19 15:27:00,12.693
304,2023-07-19 15:28:00,8.488
305,2023-07-19 15:29:00,14.603
306,2023-07-19 15:30:00,8.852
307,2023-07-19 15:31:00,11.893
308,2023-07-19 15:32:00,12.537
309,2023-07-19 15:33:01,9.681
310,2023-07-19 15:34:00,8.68
311,2023-07-19 15:35:00,8.681
312,2023-07-19 15:36:00,10.193
313,2023-07-19 15:37:01,20.336
314,2023-07-19 15:38:00,8.709
315,2023-07-19 15:39:00,10.242
316,2023-07-19 15:40:00,10.882
317,2023-07-19 15:41:01,11.285
318,2023-07-19 15:42:00,11.247
319,2023-07-19 15:43:00,11.265
320,2023-07-19 15:44:00,10.034
321,2023-07-19 15:45:00,10.059
322,2023-07-19 15:46:00,20.527
323,2023-07-19 15:47:00,18.96
324,2023-07-19 15:48:00,8.252
325,2023-07-19 15:49:00,10.097
326,2023-07-19 15:50:00,10.342
327,2023-07-19 15:51:01,13.739
328,2023-07-19 15:52:00,11.844
329,2023-07-19 15:53:00,9.252
330,2023-07-19 15:54:00,13.326
331,2023-07-19 15:55:00,13.142
332,2023-07-19 15:56:00,13.102
333,2023-07-19 15:57:01,8.388
334,2023-07-19 15:58:00,8.555
335,2023-07-19 15:59:00,8.071
336,2023-07-19 16:00:00,13.093
337,2023-07-19 16:01:00,8.482
338,2023-07-19 16:02:00,12.076
339,2023-07-19 16:03:00,9.423
340,2023-07-19 16:04:01,17.822
341,2023-07-19 16:05:00,8.34
342,2023-07-19 16:06:00,8.678
343,2023-07-19 16:07:00,12.583
344,2023-07-19 16:08:00,9.831
345,2023-07-19 16:09:00,8.507
346,2023-07-19 16:10:00,32.084
347,2023-07-19 16:11:01,10.939
348,2023-07-19 16:12:00,10.264
349,2023-07-19 16:13:00,12.798
350,2023-07-19 16:14:00,24.155
351,2023-07-19 16:15:00,6.915
352,2023-07-19 16:16:00,20.252
353,2023-07-19 16:17:01,7.931
354,2023-07-19 16:18:00,12.243
355,2023-07-19 16:19:00,7.971
356,2023-07-19 16:20:00,12.989
357,2023-07-19 16:21:00,7.995
358,2023-07-19 16:22:00,8.535
359,2023-07-19 16:23:00,10.316
360,2023-07-19 16:24:01,7.256
361,2023-07-19 16:25:00,14.219
362,2023-07-19 16:26:00,8.675
363,2023-07-19 16:27:00,10.74
364,2023-07-19 16:28:00,7.353
365,2023-07-19 16:29:00,9.233
366,2023-07-19 16:30:00,12.827
367,2023-07-19 16:31:01,14.829
368,2023-07-19 16:32:00,11.064
369,2023-07-19 16:33:00,8.955
370,2023-07-19 16:34:00,8.475
371,2023-07-19 16:35:00,8.539
372,2023-07-19 16:36:00,8.867
373,2023-07-19 16:37:00,37.298
374,2023-07-19 16:38:00,23.247
375,2023-07-19 16:39:00,8.726
376,2023-07-19 16:40:00,8.638
377,2023-07-19 16:41:00,12.603
378,2023-07-19 16:42:00,8.977
379,2023-07-19 16:43:01,8.575
380,2023-07-19 16:44:00,16.419
381,2023-07-19 16:45:00,8.395
382,2023-07-19 16:46:00,8.74
383,2023-07-19 16:47:00,14.134
384,2023-07-19 16:48:00,11.085
385,2023-07-19 16:49:00,8.303
386,2023-07-19 16:50:01,12.475
387,2023-07-19 16:51:00,11.309
388,2023-07-19 16:52:00,11.832
389,2023-07-19 16:53:00,8.931
390,2023-07-19 16:54:00,8.299
391,2023-07-19 16:55:00,10.48
392,2023-07-19 16:56:00,8.242
393,2023-07-19 16:57:00,8.716
394,2023-07-19 16:58:00,17.674
395,2023-07-19 16:59:00,8.074
396,2023-07-19 17:00:00,13.622
397,2023-07-19 17:01:00,8.534
398,2023-07-19 17:02:00,23.94
399,2023-07-19 17:03:01,17.005
400,2023-07-19 17:04:00,16.274
401,2023-07-19 17:05:00,19.051
402,2023-07-19 17:06:00,13.928
403,2023-07-19 17:07:01,10.16
404,2023-07-19 17:08:00,9.262
405,2023-07-19 17:09:00,7.387
406,2023-07-19 17:10:00,9.906
407,2023-07-19 17:11:00,12.746
408,2023-07-19 17:12:01,10.178
409,2023-07-19 17:13:00,10.522
410,2023-07-19 17:14:00,10.149
411,2023-07-19 17:15:00,14.037
412,2023-07-19 17:16:01,12.491
413,2023-07-19 17:17:00,26.427
414,2023-07-19 17:18:00,8.956
415,2023-07-19 17:19:00,15.471
416,2023-07-19 17:20:00,10.846
417,2023-07-19 17:21:01,9.328
418,2023-07-19 17:22:00,8.352
419,2023-07-19 17:23:00,8.671
420,2023-07-19 17:24:00,8.584
421,2023-07-19 17:25:01,8.704
422,2023-07-19 17:26:00,14.752
423,2023-07-19 17:27:00,7.951
424,2023-07-19 17:28:00,10.461
425,2023-07-19 17:29:00,12.012
426,2023-07-19 17:30:00,8.796
427,2023-07-19 17:31:00,9.42
428,2023-07-19 17:32:01,8.416
429,2023-07-19 17:33:00,12.951
430,2023-07-19 17:34:00,9.917
431,2023-07-19 17:35:00,8.441
432,2023-07-19 17:36:00,47.189
433,2023-07-19 17:37:01,8.74
434,2023-07-19 17:38:00,12.898
435,2023-07-19 17:39:00,9.246
436,2023-07-19 17:40:00,8.831
437,2023-07-19 17:41:00,20.594
438,2023-07-19 17:42:00,8.064
439,2023-07-19 17:43:01,9.349
440,2023-07-19 17:44:00,8.137
441,2023-07-19 17:45:00,10.611
442,2023-07-19 17:46:00,10.544
443,2023-07-19 17:47:01,7.135
444,2023-07-19 17:48:00,14.652
445,2023-07-19 17:49:00,30.936
446,2023-07-19 17:50:00,17.969
447,2023-07-19 17:51:00,11.985
448,2023-07-19 17:52:00,8.534
449,2023-07-19 17:53:00,8.93
450,2023-07-19 17:54:00,9.677
451,2023-07-19 17:55:00,13.932
452,2023-07-19 17:56:00,9.929
453,2023-07-19 17:57:00,9.723
454,2023-07-19 17:58:00,11.898
455,2023-07-19 17:59:01,8.476
456,2023-07-19 18:00:00,12.743
457,2023-07-19 18:01:00,26.024
458,2023-07-19 18:02:00,8.686
459,2023-07-19 18:03:00,9.642
460,2023-07-19 18:04:00,11.541
461,2023-07-19 18:07:01,inf
463,2023-07-19 18:29:00,inf
464,2023-07-19 18:30:00,inf
465,2023-07-19 18:31:00,inf
466,2023-07-19 18:32:00,inf
467,2023-07-19 18:33:00,inf
468,2023-07-19 18:34:00,inf
469,2023-07-19 18:35:00,inf
470,2023-07-19 18:36:00,246.05
471,2023-07-19 18:37:01,77.332
472,2023-07-19 18:38:00,104.804
473,2023-07-19 18:39:00,88.221
474,2023-07-19 18:40:00,110.727
475,2023-07-19 18:41:00,217.766
476,2023-07-19 18:42:00,106.004
477,2023-07-19 18:43:00,166.316
478,2023-07-19 18:44:01,94.201
479,2023-07-19 18:45:00,166.347
480,2023-07-19 18:46:00,115.786
481,2023-07-19 18:47:00,165.17
482,2023-07-19 18:48:00,941.942
483,2023-07-19 18:49:00,1201.587
484,2023-07-19 18:50:00,142.015
485,2023-07-19 18:51:00,113.029
486,2023-07-19 18:52:00,124.564
487,2023-07-19 18:53:00,117.405
488,2023-07-19 18:54:00,88.851
489,2023-07-19 18:55:00,113.928
490,2023-07-19 18:56:00,2519.12
491,2023-07-19 18:57:00,126.694
492,2023-07-19 18:58:01,115.388
493,2023-07-19 18:59:00,180.277
494,2023-07-19 19:00:00,432.09
495,2023-07-19 19:01:00,108.703
496,2023-07-19 19:02:00,9822.275
497,2023-07-19 19:03:00,101.529
498,2023-07-19 19:04:00,2703.378
499,2023-07-19 19:05:00,inf
500,2023-07-19 19:06:00,155.114
501,2023-07-19 19:07:01,502.376
502,2023-07-19 19:08:00,181.278
503,2023-07-19 19:09:01,inf
504,2023-07-19 19:10:00,202.637
505,2023-07-19 19:11:00,9822.747
506,2023-07-19 19:12:00,108.882
507,2023-07-19 19:13:00,inf
508,2023-07-19 19:14:01,139.024
509,2023-07-19 19:15:00,97.441
510,2023-07-19 19:16:00,923.378
511,2023-07-19 19:17:00,inf
512,2023-07-19 19:18:01,218.254
513,2023-07-19 19:19:00,6218.874
514,2023-07-19 19:20:00,160.226
515,2023-07-19 19:21:00,130.427
516,2023-07-19 19:22:01,82.008
517,2023-07-19 19:23:00,83.797
518,2023-07-19 19:24:00,265.513
519,2023-07-19 19:25:00,92.63
520,2023-07-19 19:26:00,120.657
521,2023-07-19 19:27:00,363.766
522,2023-07-19 19:28:01,93.883
523,2023-07-19 19:29:00,121.337
524,2023-07-19 19:30:00,98.377
525,2023-07-19 19:31:00,135.068
526,2023-07-19 19:32:01,232.684
527,2023-07-19 19:33:00,105.963
528,2023-07-19 19:34:00,inf
529,2023-07-19 19:35:00,116.548
530,2023-07-19 19:36:00,87.009
531,2023-07-19 19:37:00,1683.385
532,2023-07-19 19:38:00,119.045
533,2023-07-19 19:39:00,84.205
534,2023-07-19 19:40:00,91.471
535,2023-07-19 19:41:00,850.236
536,2023-07-19 19:42:00,inf
537,2023-07-19 19:43:00,104.2
538,2023-07-19 19:44:00,143.115
539,2023-07-19 19:45:00,113.716
540,2023-07-19 19:46:01,152.662
541,2023-07-19 19:47:00,118.324
542,2023-07-19 19:48:00,102.286
543,2023-07-19 19:49:00,107.194
544,2023-07-19 19:51:34,88.378
545,2023-07-19 19:53:34,263.748
546,2023-07-19 19:54:01,271.073
547,2023-07-19 19:55:00,115.673
548,2023-07-19 19:56:00,96.957
549,2023-07-19 19:57:00,339.963
550,2023-07-19 19:58:00,472.821
551,2023-07-19 19:59:01,139.181
552,2023-07-19 20:33:01,93.948
553,2023-07-19 20:34:00,173.612
554,2023-07-19 20:35:00,132.527
555,2023-07-19 20:36:01,110.809
556,2023-07-19 20:37:00,114.84
557,2023-07-19 20:38:00,100.391
558,2023-07-19 20:39:00,106.244
559,2023-07-19 20:40:01,inf
560,2023-07-19 20:41:00,4712.77
561,2023-07-19 20:42:01,inf
562,2023-07-19 20:43:00,1564.228
563,2023-07-19 20:44:01,94.634
564,2023-07-19 20:45:00,99.752
565,2023-07-19 20:46:00,98.63
566,2023-07-19 20:47:00,98.033
567,2023-07-19 20:48:00,120.593
568,2023-07-19 20:49:00,107.855
569,2023-07-19 20:50:00,97.464
570,2023-07-19 20:51:00,99.405
571,2023-07-19 20:52:01,92.251
572,2023-07-19 20:53:00,107.661
573,2023-07-19 20:54:00,88.285
574,2023-07-19 20:55:00,109.191
575,2023-07-19 20:56:01,99.972
576,2023-07-19 20:57:00,90.382
577,2023-07-19 20:58:00,110.127
578,2023-07-19 20:59:00,100.92
579,2023-07-19 21:25:17,12.828
580,2023-07-20 04:54:00,13.841
581,2023-07-20 08:39:57,inf
582,2023-07-20 08:40:20,inf
583,2023-07-20 08:41:01,98.606
584,2023-07-20 08:42:00,107.451
585,2023-07-20 08:43:00,89.021
586,2023-07-20 08:44:00,inf
587,2023-07-20 08:45:00,inf
588,2023-07-20 08:46:01,104.139
589,2023-07-20 08:47:00,1070.047
590,2023-07-20 08:48:00,371.36
591,2023-07-20 08:49:00,inf
592,2023-07-20 08:50:00,inf
593,2023-07-20 08:51:00,7871.069
594,2023-07-20 08:52:00,inf
595,2023-07-20 08:53:01,108.767
596,2023-07-20 08:54:00,1615.924
597,2023-07-20 08:55:01,2056.575
598,2023-07-20 08:56:00,inf
599,2023-07-20 08:57:00,1003.335
600,2023-07-20 08:58:00,3992.544
601,2023-07-20 08:59:00,611.355
602,2023-07-20 09:00:00,177.836
603,2023-07-20 09:01:00,inf
604,2023-07-20 09:02:00,139.662
605,2023-07-20 09:03:00,199.731
606,2023-07-20 09:04:00,inf
607,2023-07-20 09:05:00,2342.7
608,2023-07-20 09:06:00,391.016
609,2023-07-20 09:07:00,92.219
610,2023-07-20 09:08:00,107.168
611,2023-07-20 09:09:00,312.147
612,2023-07-20 09:10:00,252.636
613,2023-07-20 09:11:00,279.333
614,2023-07-20 09:12:01,inf
615,2023-07-20 09:13:00,88.665
616,2023-07-20 09:14:00,inf
617,2023-07-20 09:15:00,4446.282
618,2023-07-20 09:16:00,243.017
619,2023-07-20 09:17:00,185.545
620,2023-07-20 09:18:00,inf
621,2023-07-20 09:19:00,126.01
622,2023-07-20 09:20:00,133.629
623,2023-07-20 09:21:00,inf
624,2023-07-20 09:22:00,545.451
625,2023-07-20 09:23:00,87.077
626,2023-07-20 09:24:01,103.086
